F,T,Amp,P,G
0.016766092,8.150195794,50.17537269,146.4967141,17.06226667
0.031345642,8.954352312,148.7754228,196.890515,-3.649883333
0.031345642,8.954352312,148.7754228,196.890515,-3.649883333
0.030250329,11.9215176,84.41639062,165.0348183,-0.965243333
0.022945391,6.929367392,144.5111451,196.890515,-1.089603333
0.022945391,6.929367392,144.5111451,196.890515,-1.089603333
0.021971427,6.006144185,133.4262751,192.3288766,-0.713643333
0.021971427,6.006144185,133.4262751,192.3288766,-0.713643333
0.021240969,6.177900572,128.3906724,192.3288766,-0.368933333
0.020993179,6.447604023,131.5919206,197.1455731,-0.521043333
0.020434088,6.930546346,125.2592439,195.4118383,-0.062083333
0.020434088,6.930546346,125.2592439,195.4118383,-0.062083333
0.020307723,6.014285118,125.2592439,196.7148877,-0.041853333
0.020307723,6.014285118,125.2592439,196.7148877,-0.041853333
0.020307723,6.014285118,125.2592439,196.7148877,-0.041853333
0.020307723,6.014285118,125.2592439,196.7148877,-0.041853333
0.020307723,6.014285118,125.2592439,196.7148877,-0.041853333
0.020307723,6.014285118,125.2592439,196.7148877,-0.041853333
0.020307723,6.014285118,125.2592439,196.7148877,-0.041853333
0.020307723,6.014285118,125.2592439,196.7148877,-0.041853333
0.020307723,6.014285118,125.2592439,196.7148877,-0.041853333
0.020307723,6.014285118,125.2592439,196.7148877,-0.041853333
0.020307723,6.014285118,125.2592439,196.7148877,-0.041853333
0.020307723,6.014285118,125.2592439,196.7148877,-0.041853333
0.020307723,6.014285118,125.2592439,196.7148877,-0.041853333
0.020307723,6.014285118,125.2592439,196.7148877,-0.041853333
0.020307723,6.014285118,125.2592439,196.7148877,-0.041853333
0.020307723,6.014285118,125.2592439,196.7148877,-0.041853333
0.020307723,6.014285118,125.2592439,196.7148877,-0.041853333
0.020307723,6.014285118,125.2592439,196.7148877,-0.041853333
