F,T,Amp,P,G
0.015053253,9.294742182,37.67613027,161.3123524,27.89486667
0.022596648,7.020028761,120.2685105,198.5758306,-1.061103333
0.019671836,6.923742514,106.0413739,167.9447386,0.849126667
0.019494665,6.518396949,120.9714978,197.9447386,0.669306667
0.020398012,6.124990819,115.2257145,175.5631365,-0.027093333
0.020346339,6.863557957,114.3201897,173.2835207,-0.070243333
0.020346339,6.863557957,114.3201897,173.2835207,-0.070243333
0.020346339,6.863557957,114.3201897,173.2835207,-0.070243333
0.020289594,6.591966385,114.0271944,174.6376027,-0.055413333
0.020289594,6.591966385,114.0271944,174.6376027,-0.055413333
0.020289594,6.591966385,114.0271944,174.6376027,-0.055413333
0.020289594,6.591966385,114.0271944,174.6376027,-0.055413333
0.020289594,6.591966385,114.0271944,174.6376027,-0.055413333
0.020289594,6.591966385,114.0271944,174.6376027,-0.055413333
0.020289594,6.704674583,114.3259521,174.766779,-0.055413333
0.020289594,6.704674583,114.3259521,174.766779,-0.055413333
0.020289594,6.704674583,114.3259521,174.766779,-0.055413333
0.020289594,6.704674583,114.3259521,174.766779,-0.055413333
0.020289594,6.704674583,114.3259521,174.766779,-0.055413333
0.020289594,6.704674583,114.3259521,174.766779,-0.055413333
0.020289594,6.704674583,114.3259521,174.766779,-0.055413333
0.020289594,6.392250808,114.6855333,174.490655,-0.055413333
0.020289594,6.392250808,114.6855333,174.490655,-0.055413333
0.020289594,6.392250808,114.6855333,174.490655,-0.055413333
0.020289594,6.392250808,114.6855333,174.490655,-0.055413333
0.020289594,6.392250808,114.6855333,174.490655,-0.055413333
0.020289594,6.392250808,114.6855333,174.490655,-0.055413333
0.020289594,6.392250808,114.6855333,174.490655,-0.055413333
0.020289594,6.392250808,114.6855333,174.490655,-0.055413333
0.020289594,6.392250808,114.6855333,174.490655,-0.055413333
